,name,symbol,country,indices,industries,symbols,metadata,isins,akas,wiki_name,symbol_paris
0,Air Liquide SA,AI,France,"['CAC 40', 'EURO STOXX 50']","['Commodity Chemicals', 'Basic Materials', 'Chemicals']","[{'yahoo': 'AIL.F', 'google': 'FRA:AIL', 'currency': 'EUR'}, {'yahoo': 'AIQUF', 'google': 'OTCMKTS:AIQUF', 'currency': 'USD'}, {'yahoo': 'AIQUY', 'google': 'OTCMKTS:AIQUY', 'currency': 'USD'}, {'yahoo': '0NWF.L', 'google': 'LON:0NWF', 'currency': 'GBP'}, {'yahoo': 'AILA.F', 'google': 'FRA:AILA', 'currency': 'EUR'}]","{'founded': 1902, 'employees': 66000}",['FR0000120073'],[],,AI.PA
1,ArcelorMittal,MT,Luxembourg,"['CAC 40', 'AEX', 'IBEX 35']","['Metals & Mining', 'Mineral Resources', 'Basic Materials', 'Steel']","[{'yahoo': 'ARRD.F', 'google': 'FRA:ARRD', 'currency': 'EUR'}, {'yahoo': 'MT', 'google': 'NYSE:MT', 'currency': 'USD'}, {'yahoo': 'MT.AS', 'google': 'AMS:MT', 'currency': 'EUR'}, {'yahoo': 'MTS.MC', 'google': 'BME:MTS', 'currency': 'EUR'}, {'yahoo': 'AMSYF', 'google': 'OTCMKTS:AMSYF', 'currency': 'USD'}, {'yahoo': 'ARRJ.F', 'google': 'FRA:ARRJ', 'currency': 'EUR'}]","{'founded': 2006, 'employees': 168000}",['LU1598757687'],[],,MT.PA
2,AXA SA,CS,France,"['CAC 40', 'EURO STOXX 50']","['Insurance', 'Financials', 'Life & Health Insurance']","[{'yahoo': 'AXAA.F', 'google': 'FRA:AXAA', 'currency': 'EUR'}, {'yahoo': 'AXAHF', 'google': 'OTCMKTS:AXP', 'currency': 'USD'}, {'yahoo': 'AXAHY', 'google': 'OTCMKTS:AXAHY', 'currency': 'USD'}, {'yahoo': 'AXA.F', 'google': 'FRA:AXA', 'currency': 'EUR'}]","{'founded': 1816, 'employees': 125934}",['FR0000120628'],[],,CS.PA
3,BNP Paribas SA,BNP,France,"['CAC 40', 'EURO STOXX 50']","['Banking & Investment Services', 'Banking Services', 'Financials', 'Banks']","[{'yahoo': 'BNP.F', 'google': 'FRA:BNP', 'currency': 'EUR'}, {'yahoo': 'BNPQF', 'google': 'OTCMKTS:BNPQF', 'currency': 'USD'}, {'yahoo': 'BNPQY', 'google': 'OTCMKTS:BNPQY', 'currency': 'USD'}, {'yahoo': 'BNPH.F', 'google': 'FRA:BNPH', 'currency': 'EUR'}, {'yahoo': '0HB5.L', 'google': 'LON:0HB5', 'currency': 'GBP'}]","{'founded': 1848, 'employees': 202624}",['FR0000131104'],[],,BNP.PA
4,Bouygues SA,EN,France,['CAC 40'],"['Industrials', 'Construction & Engineering', 'Industrial & Commercial Services']","[{'yahoo': 'BYG.F', 'google': 'FRA:BYG', 'currency': 'EUR'}, {'yahoo': 'BOUYF', 'google': 'OTCMKTS:BOUYF', 'currency': 'USD'}, {'yahoo': 'BOUYY', 'google': 'OTCMKTS:BOUYY', 'currency': 'USD'}, {'yahoo': 'BYG0.F', 'google': 'FRA:BYG0', 'currency': 'EUR'}]","{'founded': 1952, 'employees': 129000}",['FR0000120503'],[],,EN.PA
5,Capgemini SE,CAP,France,['CAC 40'],"['Technology', 'Software & IT Services', 'IT Services & Consulting']","[{'yahoo': 'CGM.F', 'google': 'FRA:CGM', 'currency': 'EUR'}, {'yahoo': 'CAPMF', 'google': 'OTCMKTS:CAPMF', 'currency': 'USD'}, {'yahoo': 'CGEMY', 'google': 'OTCMKTS:CGEMY', 'currency': 'USD'}, {'yahoo': 'CGMA.F', 'google': 'FRA:CGMA', 'currency': 'EUR'}]","{'founded': 1967, 'employees': 270000}",['FR0000125338'],[],,CAP.PA
6,Carrefour SA,CA,France,['CAC 40'],"['Consumer Non-Cyclicals', 'Food & Drug Retailing', 'Food Retail & Distribution']","[{'yahoo': 'CAR.F', 'google': 'FRA:CAR', 'currency': 'EUR'}, {'yahoo': 'CRERF', 'google': 'OTCMKTS:CRERF', 'currency': 'USD'}, {'yahoo': 'CRRFY', 'google': 'OTCMKTS:CRRFY', 'currency': 'USD'}, {'yahoo': 'CAR1.F', 'google': 'FRA:CAR1', 'currency': 'EUR'}, {'yahoo': '0P00001NK3.F', 'google': 'FRA:0P00001NK3', 'currency': 'EUR'}]","{'founded': 1958, 'employees': 321383}",['FR0000120172'],[],,CA.PA
7,Crédit Agricole SA,ACA,France,['CAC 40'],"['Banking & Investment Services', 'Banking Services', 'Financials', 'Banks']","[{'yahoo': 'XCA.F', 'google': 'FRA:XCA', 'currency': 'EUR'}, {'yahoo': 'CRARF', 'google': 'OTCMKTS:CRARF', 'currency': 'USD'}]","{'founded': 1894, 'employees': 142000}",['FR0000045072'],[],,ACA.PA
8,Danone SA,BN,France,"['CAC 40', 'EURO STOXX 50']","['Food & Beverages', 'Consumer Non-Cyclicals', 'Food Processing', 'Food & Tobacco']","[{'yahoo': 'BSN.F', 'google': 'FRA:BSN', 'currency': 'EUR'}, {'yahoo': 'GPDNF', 'google': 'OTCMKTS:GPDNF', 'currency': 'USD'}, {'yahoo': 'DANOY', 'google': 'OTCMKTS:DANOY', 'currency': 'USD'}, {'yahoo': '0KFX.L', 'google': 'LON:0KFX', 'currency': 'GBP'}, {'yahoo': 'BSND.F', 'google': 'FRA:BSND', 'currency': 'EUR'}]","{'founded': 1919, 'employees': 102449}",['FR0000120644'],[],,BN.PA
9,Dassault Systèmes SE,DSY,France,['CAC 40'],"['Technology', 'Software & IT Services', 'IT Services & Consulting']","[{'yahoo': 'DSY.F', 'google': 'FRA:DSY', 'currency': 'EUR'}, {'yahoo': 'DASTY', 'google': 'OTCMKTS:DASTY', 'currency': 'USD'}]","{'founded': 1981, 'employees': 20000}",['FR0000130650'],[],,DSY.PA
